"","user_id","created_at","screen_name","text","source","favorite_count","retweet_count","...1","...2","...3","...4","lang","location","account_created_at","followers_count"
"108","25073877",2020-06-07 14:19:03,"realDonaldTrump","Colin Powell, a real stiff who was very responsible for getting us into the disastrous Middle East Wars, just announced he will be voting for another stiff, Sleepy Joe Biden. Didn’t Powell say that Iraq had “weapons of mass destruction?” They didn’t, but off we went to WAR!","Twitter for iPhone",227244,58847,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"109","25073877",2020-06-07 14:01:40,"realDonaldTrump","Not only will Sleepy Joe Biden DEFUND THE POLICE, but he will DEFUND OUR MILITARY! He has no choice, the Dems are controlled by the Radical Left.","Twitter for iPhone",209156,48869,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"110","25073877",2020-06-07 13:53:03,"realDonaldTrump","I have just given an order for our National Guard to start the process of withdrawing from Washington, D.C., now that everything is under perfect control. They will be going home, but can quickly return, if needed. Far fewer protesters showed up last night than anticipated!","Twitter for iPhone",159831,32727,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"111","25073877",2020-06-07 13:09:25,"realDonaldTrump","Sleepy Joe Biden and the Radical Left Democrats want to “DEFUND THE POLICE”. I want great and well paid LAW ENFORCEMENT. I want LAW &amp; ORDER!","Twitter for iPhone",285208,59636,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"112","25073877",2020-06-07 02:12:10,"realDonaldTrump",".@CNN &amp; MSDNC are doing everything possible to “inflame” the crowd. Fortunately they have a very small audience!","Twitter for iPhone",201254,42771,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"113","25073877",2020-06-07 02:09:10,"realDonaldTrump","Much smaller crowd in D.C. than anticipated. National Guard, Secret Service, and D.C. Police have been doing a fantastic job. Thank you!","Twitter for iPhone",283350,46967,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"114","25073877",2020-06-06 22:48:22,"realDonaldTrump","LAW &amp; ORDER!","Twitter for iPhone",409157,68407,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"115","25073877",2020-06-06 22:31:20,"realDonaldTrump","Wow! 96% Approval Rating in the Republican Party (and I believe this was before the “GREAT” Jobs Numbers yesterday). Thank you!","Twitter for iPhone",287904,49538,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"116","25073877",2020-06-06 19:56:38,"realDonaldTrump","https://t.co/hJSsx86Azp","Twitter for iPhone",70811,23959,NA,NA,NA,NA,"und","Washington, DC",2009-03-18 13:46:38,82018730
"117","25073877",2020-06-06 17:29:23,"realDonaldTrump",".@MayorBowser is grossly incompetent, and in no way qualified to be running an important city like Washington, D.C. If the great men and women of the National Guard didn’t step forward, she would have looked no better than her counterpart Mayor in Minneapolis!","Twitter for iPhone",0,37757,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"118","25073877",2020-06-06 17:28:11,"realDonaldTrump","I am a big fan of Drew Brees. I think he’s truly one of the greatest quarterbacks, but he should not have taken back his original stance on honoring our magnificent American Flag. OLD GLORY is to be revered, cherished, and flown high...","Twitter for iPhone",0,53043,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"119","25073877",2020-06-06 17:28:03,"realDonaldTrump","...We should be standing up straight and tall, ideally with a salute, or a hand on heart. There are other things you can protest, but not our Great American Flag - NO KNEELING!","Twitter for iPhone",0,44032,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"120","25073877",2020-06-06 16:19:43,"realDonaldTrump","“In short, give some credit to the government relief efforts, especially the Paycheck Protection Program, for bringing back jobs.”
#PPP #PPPWorks  https://t.co/myagqOkplF","Twitter for iPhone",0,7789,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"121","25073877",2020-06-06 16:18:36,"realDonaldTrump","#PPPworks https://t.co/qcspersL54","Twitter for iPhone",0,5797,"PPPworks",NA,NA,NA,"und","Washington, DC",2009-03-18 13:46:38,82018730
"122","25073877",2020-06-06 15:37:51,"realDonaldTrump","On June 6, 1944, our Greatest Generation bravely stormed the beaches of Normandy.

""Those who fought here won a future for our nation. They won the survival of our civilization. And they showed us the way to love, cherish, and defend our way of life for many centuries to come."" https://t.co/XbrWIkXFfl","Twitter for iPhone",0,21738,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
